Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
29-01-1993,24.54351732,24.54351732,24.42141027,24.52607346,1003200,29,4,4,1,1993
01-02-1993,24.54351526,24.70051003,24.54351526,24.70051003,480500,1,0,5,2,1993
02-02-1993,24.6830722,24.77029154,24.6307406,24.75284767,201300,2,1,5,2,1993
03-02-1993,24.78772377,25.0319378,24.77027991,25.01449394,529400,3,2,5,2,1993
04-02-1993,25.10171774,25.17149319,24.82261595,25.11916161,531500,4,3,5,2,1993
05-02-1993,25.10172272,25.15405431,24.96217179,25.10172272,492100,5,4,5,2,1993
08-02-1993,25.10172272,25.18894205,25.06683499,25.10172272,596100,8,0,6,2,1993
09-02-1993,25.01451123,25.01451123,24.87496026,24.92729187,122100,9,1,6,2,1993
10-02-1993,24.92728763,24.97961924,24.85751216,24.96217537,379600,10,2,6,2,1993
11-02-1993,24.99705688,25.18893938,24.99705688,25.0842762,19500,11,3,6,2,1993
12-02-1993,25.04939556,25.04939556,24.89240074,24.89240074,42500,12,4,6,2,1993
16-02-1993,24.82262136,24.82262136,24.22952992,24.26441765,374800,16,1,7,2,1993
17-02-1993,24.26442072,24.29930846,24.15975751,24.24697685,210900,17,2,7,2,1993
18-02-1993,24.52608958,24.52608958,23.89811004,24.22954369,378100,18,3,7,2,1993
19-02-1993,24.22953024,24.31674957,24.19464251,24.31674957,34900,19,4,7,2,1993
22-02-1993,24.38652685,24.43885845,24.31675138,24.40397072,513600,22,0,8,2,1993
23-02-1993,24.47373779,24.49118165,24.26441145,24.38651848,373700,23,1,8,2,1993
24-02-1993,24.40396435,24.70051003,24.40396435,24.70051003,26300,24,2,8,2,1993
25-02-1993,24.6830722,24.77029154,24.6307406,24.75284767,44500,25,3,8,2,1993
26-02-1993,24.80517122,24.80517122,24.66562032,24.78772736,66200,26,4,8,2,1993
01-03-1993,24.87495709,24.87495709,24.68307453,24.71796227,66500,1,0,9,3,1993
02-03-1993,24.73539892,25.0842762,24.70051119,25.0842762,182400,2,1,9,3,1993
03-03-1993,25.119176,25.20639536,25.08428826,25.18895149,280100,3,2,9,3,1993
04-03-1993,25.22382753,25.22382753,25.04938889,25.04938889,89500,4,3,9,3,1993
05-03-1993,25.08426212,25.18892525,24.96215514,24.979599,40000,5,4,9,3,1993
08-03-1993,25.03196177,25.53783417,25.03196177,25.53783417,50800,8,0,10,3,1993
09-03-1993,25.4855065,25.50295038,25.39828711,25.45061874,169300,9,1,10,3,1993
10-03-1993,25.45059429,25.50292587,25.34593112,25.50292587,194400,10,2,10,3,1993
11-03-1993,25.52038587,25.59016136,25.39827876,25.4331665,70900,11,3,10,3,1993
12-03-1993,25.22381938,25.24126324,25.01449308,25.17148781,643600,12,4,10,3,1993
15-03-1993,25.15406436,25.29361534,25.15406436,25.29361534,310800,15,0,11,3,1993
16-03-1993,25.29361534,25.36339083,25.29361534,25.29361534,30800,16,1,11,3,1993
17-03-1993,25.25872092,25.25872092,25.10172611,25.13661385,21800,17,2,11,3,1993
18-03-1993,25.24128372,25.39827858,25.24128372,25.29361534,59300,18,3,11,3,1993
19-03-1993,25.39553531,25.39553531,25.25532532,25.25532532,66900,19,4,11,3,1993
22-03-1993,25.00996432,25.1677006,24.99243806,25.11512184,183400,22,0,12,3,1993
23-03-1993,25.18521843,25.20274468,25.13263969,25.16769218,55200,23,1,12,3,1993
24-03-1993,25.13263969,25.27284967,25.00995595,25.16769218,37200,24,2,12,3,1993
25-03-1993,25.18521992,25.37800866,25.15016743,25.32542992,110100,25,3,12,3,1993
26-03-1993,25.30791213,25.32543839,25.16770209,25.18522835,101500,26,4,12,3,1993
29-03-1993,25.20274732,25.41306232,25.20274732,25.29037857,87100,29,0,13,3,1993
30-03-1993,25.3254421,25.36049461,25.29038958,25.36049461,56000,30,1,13,3,1993
31-03-1993,25.43059353,25.50069854,25.34296227,25.34296227,111600,31,2,13,3,1993
01-04-1993,25.37800906,25.37800906,25.20274657,25.25532532,129500,1,3,13,4,1993
02-04-1993,25.04500852,25.04500852,24.72953606,24.72953606,59400,2,4,13,4,1993
