Ticker,MAE,RMSE,Max Error,MAPE (%)
AAPL,2.63,3.64,13.4,1.22
ABBV,2.09,3.13,27.19,1.19
ADBE,7.51,12.11,83.08,1.49
AMD,3.23,4.45,18.93,2.2
AMT,2.79,3.74,18.23,1.4
AMZN,2.95,3.85,16.41,1.51
BA,2.74,3.6,15.09,1.62
BAC,0.5,0.68,3.53,1.21
BLK,72.6,98.54,211.21,7.39
CAT,5.1,6.95,37.33,1.41
COP,1.27,1.66,6.63,1.17
CRM,4.17,6.81,55.62,1.46
CVX,1.5,1.99,8.0,1.0
DUK,0.92,1.17,4.03,0.86
FCX,0.8,1.07,3.96,1.75
GOOGL,2.37,3.36,16.98,1.36
GS,7.98,11.07,70.46,1.54
HD,4.57,5.66,17.49,1.22
HON,2.35,3.1,13.83,1.13
JNJ,1.3,1.69,5.4,0.86
JPM,2.59,3.81,23.06,1.2
LIN,3.7,4.79,20.8,0.83
META,9.03,11.95,51.15,1.66
MRK,1.21,1.77,12.23,1.1
MSFT,4.81,6.29,27.88,1.14
NEE,0.96,1.26,4.65,1.32
NVDA,3.9,4.92,23.32,3.4
PFE,0.63,0.75,2.26,2.39
PLD,1.43,1.91,8.14,1.25
SBUX,1.26,2.19,18.37,1.43
SPY,6.78,8.34,28.02,1.2
TSLA,8.38,11.61,45.62,3.15
XOM,1.13,1.42,4.0,1.0
